cols,rows,block_variant,block_ms,cluster_variant,cluster_ms,cluster_size,trial,workload
16384,4096,block_smem,0.740245,cluster_smem,0.511476,2,4,lars_momentum
32768,4096,block_read,1.48532,cluster_smem,1.29155,2,4,lars_momentum
65536,4096,block_read,3.00718,n/a,nan,2,4,lars_momentum
4096,4096,block_smem,0.120812,cluster_smem,0.125671,4,0,lars_momentum
8192,4096,block_smem,0.276034,cluster_smem,0.231663,4,0,lars_momentum
16384,4096,block_smem,0.733735,cluster_smem,0.467151,4,0,lars_momentum
32768,4096,block_read,1.48542,cluster_smem,1.04622,4,0,lars_momentum
65536,4096,block_read,3.00764,cluster_smem,2.74092,4,0,lars_momentum
4096,4096,block_smem,0.120921,cluster_smem,0.125746,4,1,lars_momentum
8192,4096,block_smem,0.27586,cluster_smem,0.232182,4,1,lars_momentum
16384,4096,block_smem,0.733949,cluster_smem,0.467489,4,1,lars_momentum
32768,4096,block_read,1.48618,cluster_smem,1.04421,4,1,lars_momentum
65536,4096,block_read,2.9996,cluster_smem,2.75973,4,1,lars_momentum
4096,4096,block_smem,0.120725,cluster_smem,0.125571,4,2,lars_momentum
8192,4096,block_smem,0.276062,cluster_smem,0.23184,4,2,lars_momentum
16384,4096,block_smem,0.733693,cluster_smem,0.46728,4,2,lars_momentum
32768,4096,block_read,1.48607,cluster_smem,1.04495,4,2,lars_momentum
65536,4096,block_read,3.00663,cluster_smem,2.75023,4,2,lars_momentum
4096,4096,block_smem,0.120708,cluster_smem,0.125451,4,3,lars_momentum
8192,4096,block_smem,0.275808,cluster_smem,0.232122,4,3,lars_momentum
16384,4096,block_smem,0.733773,cluster_smem,0.467286,4,3,lars_momentum
32768,4096,block_read,1.48593,cluster_smem,1.04446,4,3,lars_momentum
65536,4096,block_read,3.00663,cluster_smem,2.74958,4,3,lars_momentum
4096,4096,block_smem,0.120656,cluster_smem,0.125545,4,4,lars_momentum
