device,workload,label,category,rows,cols,block_variant,cuda_nodsmem_ms,cuda_nodsmem_p20_ms,cuda_nodsmem_p80_ms,torch_compile_ms,torch_compile_p20_ms,torch_compile_p80_ms,triton_ms,triton_p20_ms,triton_p80_ms,triton_block_size,triton_num_warps,dsmem_ms,dsmem_p20_ms,dsmem_p80_ms,measured_cluster_size,best_baseline,best_baseline_ms,dsmem_vs_torch,dsmem_vs_triton,dsmem_vs_cuda_nodsmem,dsmem_vs_best,dsmem_vs_best_p20,dsmem_vs_best_p80,predicted_cluster_size,predicted_delta_ms,predicted_profitable,measured_profitable_vs_cuda,model_correct,model_version
H100,pearson_backward,Pearson backward,pairwise statistics,4096,32768,block_read,1.13206,1.131736,1.1323239999999999,1.5023472595214844,1.5019805603027343,1.5031752014160156,1.454122314453125,1.4538629150390627,1.45517578125,1024,8,0.744963,0.7448424,0.7456006000000001,8,cuda_nodsmem,1.13206,2.0166736596602575,1.9519389747586455,1.519619095176539,1.519619095176539,1.517885044620404,1.5202195793365145,4,0.06240085199671654,True,True,True,effective-bandwidth-overlap-v2
H100,pearson_backward,Pearson backward,pairwise statistics,4096,65536,block_read,2.2777,2.277054,2.287186,3.2332730102539062,3.2329411010742186,3.2338792114257813,2.9081912231445313,2.9079959716796875,2.9083833007812503,1024,8,1.56379,1.5594240000000001,1.565202,8,cuda_nodsmem,2.2777,2.067587726135802,1.8597070087061123,1.4565254925533477,1.4565254925533477,1.4547988055215877,1.4666864175490437,8,0.09705219497459262,True,True,True,effective-bandwidth-overlap-v2
H100,softmax_logits_backward,Softmax-logits backward,softmax,4096,4096,block_smem,0.0742608,0.07421138,0.07432757999999999,0.07190879821777343,0.07186566257476806,0.0719406089782715,0.11789152145385742,0.11786047935485841,0.11790777587890625,1024,8,0.0961962,0.09614692,0.09622812,2,torch.compile,0.07190879821777343,0.7475222328717084,1.2255320007844117,0.7719722816493791,0.7475222328717084,0.7468260065225015,0.7482362303261664,2,-0.014901883036687116,False,False,True,effective-bandwidth-overlap-v2
H100,softmax_logits_backward,Softmax-logits backward,softmax,4096,8192,block_smem,0.153392,0.1533262,0.1535164,0.14243295669555664,0.1423891830444336,0.1424632968902588,0.25743520736694336,0.2574143981933594,0.25745344543457027,1024,8,0.162386,0.1623192,0.1624044,2,torch.compile,0.14243295669555664,0.8771258402544347,1.5853288298679895,0.9446134518985627,0.8771258402544347,0.876756929273059,0.8776737249213821,2,-0.0030678133407535677,False,False,True,effective-bandwidth-overlap-v2
H100,softmax_logits_backward,Softmax-logits backward,softmax,4096,16384,block_smem,0.522297,0.5216714,0.5224508,0.29317440032958986,0.2928112564086914,0.2932462043762207,0.5395347213745117,0.5394760208129883,0.5396326522827148,1024,8,0.320404,0.32021499999999997,0.3204870000000001,2,torch.compile,0.29317440032958986,0.9150147948514683,1.6839200552256268,1.6301200983758004,0.9150147948514683,0.913644723214019,0.9157790995931505,2,0.12555212605111354,True,True,True,effective-bandwidth-overlap-v2
H100,softmax_logits_backward,Softmax-logits backward,softmax,4096,32768,block_read,1.25864,1.257768,1.258894,0.5794083023071289,0.5792580337524413,0.5797597961425781,1.0752963256835937,1.0752810668945314,1.0753384399414063,1024,8,0.670396,0.670348,0.670613,8,torch.compile,0.5794083023071289,0.8642776840958611,1.6039718698852525,1.8774575027297298,0.8642776840958611,0.8637739407861782,0.8648639156715289,4,0.3517382766726489,True,True,True,effective-bandwidth-overlap-v2
H100,softmax_logits_backward,Softmax-logits backward,softmax,4096,65536,block_read,2.54297,2.542956,2.543088,2.051607360839844,2.0515046081542967,2.0520270385742188,2.1556060791015623,2.1555723571777343,2.155733825683594,1024,8,1.40609,1.405864,1.4072040000000001,8,torch.compile,2.051607360839844,1.4590868015844247,1.5330498610341885,1.8085399938837485,1.4590868015844247,1.4578587100052989,1.4596198768687574,8,0.6747273875339181,True,True,True,effective-bandwidth-overlap-v2
H100,lars_momentum,LARS momentum,optimizer,4096,4096,block_smem,0.120902,0.1207818,0.12103560000000001,0.11532768249511718,0.11528742599487304,0.11534758377075195,0.1776924705505371,0.17765048980712891,0.17769407272338866,1024,8,0.118283,0.118237,0.1182966,2,torch.compile,0.11532768249511718,0.9750148583914611,1.502265503500394,1.022141812432894,0.9750148583914611,0.9745624641356814,0.9755625038757069,2,-0.004122699658799176,False,True,False,effective-bandwidth-overlap-v2
H100,lars_momentum,LARS momentum,optimizer,4096,8192,block_smem,0.276186,0.27605979999999997,0.2762168,0.22661151885986328,0.2266024932861328,0.22671526336669923,0.36120574951171874,0.36118515777587884,0.3612350006103516,1024,8,0.23184,0.23175020000000002,0.232134,4,torch.compile,0.22661151885986328,0.977447890182295,1.5579958139739423,1.1912784679089028,0.977447890182295,0.9761710619130881,0.9782742943337231,2,0.007474762027958297,True,True,True,effective-bandwidth-overlap-v2
H100,lars_momentum,LARS momentum,optimizer,4096,16384,block_smem,0.733971,0.7338732,0.7356851999999999,0.44863487243652345,0.4482927932739258,0.448757682800293,0.7265711975097656,0.7265328674316407,0.726621368408203,1024,8,0.461916,0.4618576,0.46203200000000005,8,torch.compile,0.44863487243652345,0.9712477429587273,1.5729509207513177,1.5889707219494456,0.9712477429587273,0.9702635169726896,0.97163645851079,2,0.08794286040147328,True,True,True,effective-bandwidth-overlap-v2
