workload,category,rows,cols,cluster_size,shared_bytes_per_cta,cluster_ms,cluster_p20_ms,cluster_p80_ms,control_overhead_ms,saved_hbm_ms,local_staging_ms,dsmem_store_ms,predicted_delta_ms,predicted_profitable,measured_delta_vs_block_ms,measured_profitable_vs_block
weighted_var_backward,normalization,4096,4096,2,24576,0.163591,0.1635248,0.16367879999999999,0.026609,0.27067120011293283,0.04783896680696555,0.0001900182262380269,0.1960332150797293,True,-0.0006909999999999972,False
weighted_var_backward,normalization,4096,4096,4,12288,0.216512,0.21644600000000003,0.21684779999999998,0.0573222,0.27067120011293283,0.04783896680696555,0.0011401093574281613,0.16436992394853914,True,-0.05361200000000002,False
weighted_var_backward,normalization,4096,4096,8,6144,0.486384,0.4860086,0.4864912,0.127397,0.27067120011293283,0.04783896680696555,0.005320510334664753,0.09011472297130252,True,-0.323484,False
weighted_var_backward,normalization,4096,8192,2,49152,0.335014,0.3347524,0.3351092,0.0266099,0.5413424002258657,0.0956779336139311,0.0001900182262380269,0.4188645483856966,True,-0.0020879999999999788,False
weighted_var_backward,normalization,4096,8192,4,24576,0.332084,0.332074,0.3321074,0.0573264,0.5413424002258657,0.0956779336139311,0.0011401093574281613,0.38719795725450645,True,0.0008420000000000094,True
weighted_var_backward,normalization,4096,8192,8,12288,0.482725,0.4823476,0.48286799999999996,0.127296,0.5413424002258657,0.0956779336139311,0.005320510334664753,0.3130479562772699,True,-0.14979900000000002,False
weighted_var_backward,normalization,4096,16384,2,98304,0.666041,0.6659587999999999,0.666236,0.0532285,1.0826848004517313,0.1913558672278622,0.0001900182262380269,0.8379104149976313,True,0.943609,True
weighted_var_backward,normalization,4096,16384,4,49152,0.66947,0.6694292,0.6696452,0.0573203,1.0826848004517313,0.1913558672278622,0.0011401093574281613,0.8328685238664411,True,0.94018,True
weighted_var_backward,normalization,4096,16384,8,24576,0.669977,0.6697142,0.6700024,0.127368,1.0826848004517313,0.1913558672278622,0.005320510334664753,0.7586404228892043,True,0.939673,True
weighted_var_backward,normalization,4096,32768,4,98304,1.33252,1.332454,1.332786,0.114643,2.1653696009034626,0.3827117344557244,0.0011401093574281613,1.6668747570903102,True,2.18544,True
weighted_var_backward,normalization,4096,32768,8,49152,1.33761,1.3368220000000002,1.338012,0.127409,2.1653696009034626,0.3827117344557244,0.005320510334664753,1.6499283561130735,True,2.18035,True
weighted_var_backward,normalization,4096,65536,8,98304,2.71766,2.7175599999999998,2.718058,0.25651,4.330739201806925,0.7654234689114487,0.005320510334664753,3.3034852225608122,True,4.321289999999999,True
pearson_backward,pairwise statistics,4096,4096,2,16384,0.174449,0.1744176,0.1745046,0.0184621,0.09022373337097761,0.031892644537977036,0.0001900182262380269,0.03967897060676255,True,0.0028980000000000117,True
pearson_backward,pairwise statistics,4096,4096,4,8192,0.171907,0.17188399999999998,0.17204399999999997,0.0429802,0.09022373337097761,0.031892644537977036,0.0011401093574281613,0.01421077947557241,True,0.00544,True
pearson_backward,pairwise statistics,4096,4096,8,4096,0.310547,0.31037040000000005,0.3105664,0.0954838,0.09022373337097761,0.031892644537977036,0.005320510334664753,-0.042473221501664174,False,-0.1332,False
pearson_backward,pairwise statistics,4096,8192,2,32768,0.352243,0.3522172,0.3523104,0.0184429,0.18044746674195522,0.06378528907595407,0.0001900182262380269,0.09802925943976311,True,-0.00031599999999998296,False
pearson_backward,pairwise statistics,4096,8192,4,16384,0.351345,0.35127200000000003,0.35137039999999997,0.0429773,0.18044746674195522,0.06378528907595407,0.0011401093574281613,0.072544768308573,True,0.0005819999999999714,True
pearson_backward,pairwise statistics,4096,8192,8,8192,0.351891,0.3518108,0.3520716,0.0954624,0.18044746674195522,0.06378528907595407,0.005320510334664753,0.01587926733133639,True,3.599999999998049e-05,True
pearson_backward,pairwise statistics,4096,16384,2,65536,0.703913,0.7038308,0.7039402,0.0389309,0.36089493348391044,0.12757057815190814,0.0001900182262380269,0.1942034371057643,True,0.3654569999999999,True
pearson_backward,pairwise statistics,4096,16384,4,32768,0.704319,0.7042992,0.7043412,0.0429811,0.36089493348391044,0.12757057815190814,0.0011401093574281613,0.18920314597457413,True,0.3650509999999999,True
pearson_backward,pairwise statistics,4096,16384,8,16384,0.701475,0.701454,0.7015844,0.0946982,0.36089493348391044,0.12757057815190814,0.005320510334664753,0.13330564499733755,True,0.36789499999999997,True
pearson_backward,pairwise statistics,4096,32768,4,65536,1.41007,1.410034,1.410112,0.0859648,0.7217898669678209,0.2551411563038163,0.0011401093574281613,0.3795438013065765,True,0.7491299999999999,True
pearson_backward,pairwise statistics,4096,32768,8,32768,1.40972,1.409672,1.409788,0.0947206,0.7217898669678209,0.2551411563038163,0.005320510334664753,0.3666076003293398,True,0.7494799999999997,True
pearson_backward,pairwise statistics,4096,65536,8,65536,2.8162,2.81602,2.81651,0.192549,1.4435797339356418,0.5102823126076326,0.005320510334664753,0.7354279109933444,True,1.5216300000000005,True
softmax_logits_backward,softmax,4096,4096,2,16384,0.121533,0.1214064,0.1217882,0.0266147,0.18044746674195522,0.031892644537977036,0.00011401093574281613,0.12182611126823538,True,-0.0017210000000000003,False
softmax_logits_backward,softmax,4096,4096,4,8192,0.179617,0.1792108,0.1796376,0.0573405,0.18044746674195522,0.031892644537977036,0.0006840656144568969,0.09053025658952128,True,-0.059805,False
softmax_logits_backward,softmax,4096,4096,8,4096,0.402517,0.40210260000000003,0.4027236,0.128425,0.18044746674195522,0.031892644537977036,0.0031923062007988517,0.01693751600317932,True,-0.282705,False
softmax_logits_backward,softmax,4096,8192,2,32768,0.254196,0.2540284,0.25428819999999996,0.0266112,0.36089493348391044,0.06378528907595407,0.00011401093574281613,0.2703844334722135,True,-7.899999999999574e-05,False
softmax_logits_backward,softmax,4096,8192,4,16384,0.250503,0.2504544,0.2505464,0.0573235,0.36089493348391044,0.06378528907595407,0.0006840656144568969,0.2391020787934995,True,0.003614000000000006,True
softmax_logits_backward,softmax,4096,8192,8,8192,0.391383,0.3912896,0.3914204,0.128284,0.36089493348391044,0.06378528907595407,0.0031923062007988517,0.1656333382071575,True,-0.137266,False
